Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
130,tt0082829,2013-08-15,2013-08-15,"WWII gay romance between a German soldier in hiding and a French village idiot, quite a story regarding the time.","Nous étions un seul homme","Nous étions un seul homme",https://www.imdb.com/title/tt0082829/,Movie,6.4,91,1979,"Drama, Romance",675,1981-12,"Philippe Vallois",,
131,tt0080569,2013-08-15,2013-08-15,"Friedman's other, more infamous gay-themed film is interesting for the intense debate it incited, less for its unconvincing story.","Cruising","Cruising",https://www.imdb.com/title/tt0080569/,Movie,6.5,102,1980,"Crime, Drama, Mystery, Thriller",30606,1980-02-15,"William Friedkin",,
132,tt0081051,2013-08-15,2013-08-15,"unfortunately failed adaptation of gay cult author Gerard Reve","Dear Boys","Lieve jongens",https://www.imdb.com/title/tt0081051/,Movie,4.8,88,1980,"Comedy, Drama",178,1981-12,"Paul de Lussanet",,
133,tt0128265,2017-10-07,2017-10-07,"This is said to be the first Italian Lesbian romance, but I haven't been able to find it.","Immacolata e Concetta, l'altra gelosia","Immacolata e Concetta, l'altra gelosia",https://www.imdb.com/title/tt0128265/,Movie,6.8,94,1979,"Drama, Romance",113,1980-03,"Salvatore Piscicelli",,
134,tt0081606,2013-08-15,2013-08-15,"hilarious gay comedy depicting the Berlin scene as it pretty much still is.","Taxi to the Toilet","Taxi zum Klo",https://www.imdb.com/title/tt0081606/,Movie,6.5,98,1980,"Comedy, Drama, Romance",1881,1981-01-09,"Frank Ripploh",,
135,tt0081635,2016-10-27,2016-10-27,"teenage runaway movie with lesbian romance, which was much more overt in the unedited version.","Times Square","Times Square",https://www.imdb.com/title/tt0081635/,Movie,6.6,111,1980,"Drama, Music",2235,1980-10-17,"Allan Moyle",,
136,tt0413492,2016-10-27,2016-10-27,"rare look at the queer scene in Oz","Witches, Faggots, Dykes and Poofters","Witches, Faggots, Dykes and Poofters",https://www.imdb.com/title/tt0413492/,Movie,7.1,45,1980,"Documentary",38,1980-10,"Digby Duncan",,
137,tt0078993,2017-10-07,2018-10-25,"Finally saw this made-for-TV Stefan Zweig adaptation with Michel Piccoli. Apart from a very attractive young lead, it looks pretty dated even for early 80s standards, which is probably why it's so obscure.","La confusion des sentiments","La confusion des sentiments",https://www.imdb.com/title/tt0078993/,TV Movie,6.8,90,1981,"Drama",132,1981-06-10,"Etienne Périer",,
138,tt0167856,2016-10-27,2016-10-27,"2nd episode in this two-in-one is borderline exploitative comedy, kind of a poor man's La cage aux folles","Culo e camicia","Culo e camicia",https://www.imdb.com/title/tt0167856/,Movie,5.7,100,1981,"Comedy",322,1981-12-22,"Pasquale Festa Campanile",,
139,tt0182338,2016-10-27,2016-10-27,"by no means perfect rom com stars Ornella Muti as a trans woman, and is therefore interesting to watch just for her gorgeousness. The story is surprisingly complicated for Italian comedy of the time.","Nessuno è perfetto","Nessuno è perfetto",https://www.imdb.com/title/tt0182338/,Movie,5.7,105,1981,"Comedy, Drama, Romance",327,1981-10-22,"Pasquale Festa Campanile",,
140,tt0088784,2016-10-27,2016-10-27,"stage adaptation of a popular theater piece of the time,this is more an examination of machismo under threat than homosexuality itself, which is more of a catalyst.","The Kiss","O Beijo No Asfalto",https://www.imdb.com/title/tt0088784/,Movie,7.4,80,1981,"Crime, Drama, Mystery",595,1981-06-02,"Bruno Barreto",,
141,tt0083872,2014-01-15,2014-01-15,"bold Lesbian love story - the first from a socialist country - won its leading actress an award at Cannes","Another Way","Egymásra nézve",https://www.imdb.com/title/tt0083872/,Movie,7.1,102,1982,"Biography, Drama, History",969,1982-10-07,"Károly Makk",,
142,tt0083743,2013-10-03,2013-10-03,"Golden Bear-winning adaptation of Camilo José Cela's controversial masterpiece 'The Hive' (1951) with a multitude of characters, among which an ageing homosexual stands out for what happens at the end.","La colmena","La colmena",https://www.imdb.com/title/tt0083743/,Movie,7.1,105,1982,"Drama",1219,1983-08-17,"Mario Camus",,
143,tt0295916,2016-10-27,2016-10-27,"the first (and least convincing) of the French bisexual subtext movies with a seductive young male protagonist of questionable character.","Le crime d'amour","Le crime d'amour",https://www.imdb.com/title/tt0295916/,Movie,6.3,78,1982,"Crime, Drama",72,1982-11-24,"Guy Gilles",,
144,tt0085990,2016-10-27,2016-10-27,"first openly gay-themed film from Israel, bleak but honest","Drifting","Nagu'a",https://www.imdb.com/title/tt0085990/,Movie,6.5,80,1982,"Drama",99,1983,"Amos Guttman",,
145,tt0083962,2016-10-27,2016-10-27,"Paul Morrissey's most openly gay (i.e. least camp) film stars Kevin Bacon, but as usual with that director, it's all about depravity.","Forty Deuce","Forty Deuce",https://www.imdb.com/title/tt0083962/,Movie,5.5,89,1982,"Drama",265,1982-11-17,"Paul Morrissey",,
146,tt0084228,2013-08-15,2013-08-15,"Almodóvar's 2nd film is a wild array of ambiguous sexuality, including a very young Antonio Banderas as a gay Iranian wannabe terrorist.","Labyrinth of Passion","Laberinto de pasiones",https://www.imdb.com/title/tt0084228/,Movie,6.1,100,1982,"Comedy, Drama, Romance",4952,1982-09-29,"Pedro Almodóvar",,
147,tt0085852,2016-10-27,2016-10-27,"Lesbian underground SciFi cult classic","Liquid Sky","Liquid Sky",https://www.imdb.com/title/tt0085852/,Movie,6.0,112,1982,"Sci-Fi, Thriller",7309,1983-04-15,"Slava Tsukerman",,
148,tt0084293,2013-08-15,2013-08-15,"first mainstream Hollywood gay-themed drama memorable for Kate Jackson's bewildered wife of a bisexual husband and Harry Hamlin's commitment problems.","Making Love","Making Love",https://www.imdb.com/title/tt0084293/,Movie,6.9,113,1982,"Drama",3118,1982-03-05,"Arthur Hiller",,
149,tt0084664,2016-10-27,2016-10-27,"tale of female liberation with a focus on the protagonist's friendship with a gay guy","Nobody's Wife","Señora de nadie",https://www.imdb.com/title/tt0084664/,Movie,7.1,90,1982,"Drama",180,1982-04-01,"María Luisa Bemberg",,
150,tt0084477,2016-10-27,2016-10-27,"cringing awful but an interesting look at stereotypes of the time","Partners","Partners",https://www.imdb.com/title/tt0084477/,Movie,5.3,93,1982,"Comedy, Crime",1582,1982-04-30,"James Burrows",,
