"Position","Const","Created","Modified","Description","Title","Original.Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors","Your.Rating","Date.Rated"
10918,"tt2661044","2022-09-24","2022-09-24","","The 100","The 100","https://www.imdb.com/title/tt2661044/","TV Series","7.5","43","2014","Action, Drama, Sci-Fi","293782","2014-03-19","",NA,NA
10919,"tt2402927","2022-09-24","2022-09-24","","Carol","Carol","https://www.imdb.com/title/tt2402927/","Movie","7.3","118","2015","Drama, Romance","149704","2016-01-15","Todd Haynes",NA,NA
10920,"tt6108178","2022-09-26","2022-09-26","","Disobedience","Disobedience","https://www.imdb.com/title/tt6108178/","Movie","6.6","114","2017","Drama","38868","2018-04-27","Sebastián Lelio",NA,NA
10921,"tt10610752","2022-10-02","2022-10-02","","He's Coming To Me","He's Coming To Me","https://www.imdb.com/title/tt10610752/","TV Mini Series","8.2",NA,"2019","Comedy, Fantasy, Mystery, Romance","834","2019-03-07","",NA,NA
10922,"tt6428698","2022-10-02","2022-10-02","","Sotus the Series","Sotus the Series","https://www.imdb.com/title/tt6428698/","TV Series","7.8","45","2016","Drama, Romance","2249","2016-08-20","",NA,NA
10923,"tt12048276","2022-10-02","2022-10-02","","2gether","2gether","https://www.imdb.com/title/tt12048276/","TV Mini Series","7.6","50","2020","Comedy, Drama, Romance","5491","2020-02-21","",NA,NA
10924,"tt13660938","2022-10-02","2022-10-02","","Bad Buddy","Bad Buddy","https://www.imdb.com/title/tt13660938/","TV Mini Series","8.7","45","2021","Comedy, Romance","7366","2021-10-29","",NA,NA
10925,"tt7949218","2022-10-30","2022-10-30","","See","See","https://www.imdb.com/title/tt7949218/","TV Series","7.6","60","2019","Action, Drama, Sci-Fi","106755","2019-11-01","",NA,NA
10926,"tt7772588","2022-11-05","2022-11-05","","For All Mankind","For All Mankind","https://www.imdb.com/title/tt7772588/","TV Series","8.1","60","2019","Drama, Sci-Fi","80696","2019-11-01","",NA,NA
10927,"tt4061620","2022-11-05","2022-11-05","","Firebird","Firebird","https://www.imdb.com/title/tt4061620/","Movie","7.1","107","2021","Biography, Drama, Romance, War","14153","2021-10-29","Peeter Rebane",NA,NA
10928,"tt4878326","2023-04-29","2023-04-29","","Wynonna Earp","Wynonna Earp","https://www.imdb.com/title/tt4878326/","TV Series","7.4","43","2016","Action, Drama, Fantasy, Horror, Mystery, Thriller, Western","25973","2016-04-01","",NA,NA
10929,"tt9737326","2023-06-26","2023-06-26","","Invasion","Invasion","https://www.imdb.com/title/tt9737326/","TV Series","6.2","60","2021","Drama, Fantasy, Sci-Fi","49598","2021-10-22","",NA,NA
